id,subject,chapter,topic,stem,options,correct_index,explanation,difficulty,language,source,status,created_by,created_at,difficulty_ai,bloom_level,ai_flags,reviewed_by,reviewed_at,updated_at,tags
1001,Biology,General Biology,Mixed,"Which of the following is incorrectly matched?
light","[""Porphyra - Floridian Starch"", ""Volvox - Starch\nDNA strands from gel is called elution."", ""Ectocarpus - Fucoxanthin"", ""Ulothrix - Mannitol""]",0,"{""text"": ""The use of chromogenic substrate Explanation: The reserve food material found in\nis used during genetic engineering, not during Ulothrix (Green alga) is Starch.\nGel electrophoresis.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244041,,Apply,,,,2025-09-21T16:59:52.244041,"[""neet-2022"", ""biology""]"
1002,Biology,General Biology,Mixed,Given below are two statements,"[""Statement I is correct but Statement II is"", ""Statement I is incorrect but Statement II is"", ""Synaptonemal complex"", ""Bivalent\ncorrect""]",0,"{""text"": ""The appearance of recombination Explanation: The primary acceptor of CO in C4\n2\nnodules on homologous chromosomes during plants is PEP and is found in the mesophyll\nmeiosis characterizes the sites at which cells, whereas Rubisco enzyme is found in the\ncrossing over occurs. bundle sheath cells where it helps in fixing CO\n2\nthrough C cycle.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244144,,Apply,,,,2025-09-21T16:59:52.244144,"[""neet-2022"", ""biology""]"
1003,Biology,Plant Physiology,Photosynthesis / Transport,"Which of the following is not a method of ex 3
situ conservation? 109. In old trees the greater part of secondary
xylem is dark brown and resistant to insect","[""Micropropagation\nattack due to:"", ""Cryopreservation\n(a) secretion of secondary metabolites and"", ""Invitro fertilization\ntheir deposition in the lumen of vessels."", ""National Parks\n(b) deposition of organic compounds like""]",3,"{""text"": ""Answer (4) tannins and resins in the central layers of\nstem.\nNational parks are the example of in-situ\nconservation. (c) deposition of suberin and aromatic\nsubstances in the outer layer of stem.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244274,,Apply,,,,2025-09-21T16:59:52.244274,"[""neet-2022"", ""biology""]"
1004,Biology,General Biology,Mixed,"Identify the incorrect statement related to
Pollination: (d) deposition of tannins, gum, resin and
aromatic substances in the peripheral","[""(d) and (e) Only"", ""(b) and (d) Only"", ""Pollination by water is quite rare in\ngiven below:\nflowering plants"", ""Pollination by wind is more common\namongst abiotic pollination""]",1,"{""text"": ""The most dominant pollinating (4) (c)and(d)Only)\nagent among insects are Bees (80%).\nSol. Answer (3)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244333,,Apply,,,,2025-09-21T16:59:52.244333,"[""neet-2022"", ""biology""]"
1005,Biology,General Biology,Mixed,"""Girdling Experiment"" was performed by
Statement II : Plant Physiologists to identify the plant tissue
through which:
Decomposition is faster if the detritus is rich in
lignin and chitin","[""Statement I is correct but Statement II is"", ""osmosis is observed\ncorrect answer from the options given below :"", ""water is transported"", ""food is transported\nincorrect""]",3,"{""text"": ""Answer (4)\n(2) Statement I is incorrect but Statement II is\nGirdling experiment demonstrate that phloem is\ncorrect\nresponsible for translocation of food because\n(3) Both Statement I and Statement II are\nthe phloem is present outside the xylem, so\ncorrect\nwhen a ring of bark is removed from a woody\n(4) Both Statement I and Statement II are plant, the woody xylem part remains intact,\nincorrect which causes the water and the nutrients to\nreach the least.\nSol. Answer (1)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244473,,Apply,,,,2025-09-21T16:59:52.244473,"[""neet-2022"", ""biology""]"
1006,Biology,General Biology,Mixed,"Habitat loss and fragmentation, over
given
exploitation, alien species invasion and co-
extinction are causes for:","[""Biodiversity loss"", ""Natality"", ""Population explosion"", ""Competition Sol. Answer (4)""]",0,"{""text"": ""The evil quartet for biodiversity Gulmohar and Cassia\nloss are Examples of Actinomorphic flowers :""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244552,,Apply,,,,2025-09-21T16:59:52.244552,"[""neet-2022"", ""biology""]"
1007,Biology,General Biology,Mixed,"Hydrocolloid carrageen is obtained from:
to the stroma","[""Rhodophyceae only"", ""Phaeophyceae only stroma side of the membrane"", ""Breakdown of proton gradient"", ""Breakdown of electron gradient""]",0,"{""text"": ""According to chemiosmotic (2) Maize\nhypothesis, there is a breakdown of proton\n(3) Cotton\ngradient by the movement of protons across\n(4) Coriander\nthe membrane to the stroma and reduction of\nNADP to NADPH2 on the stroma side of the Sol. Answer (2)\nmembrane.\nPlants follow different pathways in response to""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244634,,Apply,,,,2025-09-21T16:59:52.244634,"[""neet-2022"", ""biology""]"
1008,Biology,Genetics,Molecular / Inheritance,"Read the following statements and choose the
Reason (R):
set of correct statements
The ampicillin resistant gene is used as a
(a) Euchromatin is loosely packed chromatin
selectable marker to check transformation
(b) Heterochromatin is transcriptionally active
In the light of the above statements, choose the
(c) Histone octomer is wrapped by negative
correct answer from the options given below:
charged DNA in nucleosome","[""(b), (e) Only"", ""(A) is not correct but (R) is correct\n(e) A typical nucleosome contains 400 bp of"", ""Both (A) and (R) are correct and (R) is the\nDNA helix\ncorrect explanation of (A)\nChoose the correct answer from the options"", ""Both (A) and (R) are correct but (R) is not\ngiven below:\nthe correct explanation of (A)""]",3,"{""text"": ""Answer (4)\n(2) (a),(c),(e)Only\n PCR enables the amplification of billions of\n(3) (b),(d),(e)Only\ncopies of temtlate DNA.\n Antibiotic resistance genes i.e. amplicillin (4) (a), (c), (d) Only\nresistant and tetracycline resistant gene act\nSol. Answer (4)\nas selectable markers to distinguish\nEuchromatin is loosely, lightly stained\nbetween transformant and non\nchromatin.\ntransformant, recombinant and non\nrecombinant. Heterochromatin is transcriptionally inactive.""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244780,,Apply,,,,2025-09-21T16:59:52.244780,"[""neet-2022"", ""biology""]"
1009,Biology,General Biology,Mixed,"Which one of the following plants shows
stem possess endarch protoxylem
vexillary aestivation and diadelphous stamens?
(e) In monocotyledonous root, usually there","[""(a), (b), (c) and (d) Only"", ""Solanum nigrum\nChoose the correct answer from the options"", ""Colchicum\ngiven below"", ""Pisum sativum autumnale""]",3,"{""text"": ""Answer (4)\n(2) (a), (c), (d) and (e) Only\nVexillary Aestivation and Diadelphous\n(3) (a), (b) and (d) Only\nstatements are feature of Fabaceae\n(4) (b), (c), (d) and (e) Only\nPisum sativum - Fabaceae\nSol. NA\nSolanum - Solanaceae""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244889,,Apply,,,,2025-09-21T16:59:52.244889,"[""neet-2022"", ""biology""]"
1010,Biology,Genetics,Molecular / Inheritance,"DNA polymorphism forms the basis of:
(2) Glucosamine","[""Both genetic mapping and DNA finger"", ""Translation"", ""Cutin\nprinting"", ""Cellulose""]",0,"{""text"": ""Answer (1)\n(3) Genetic mapping\nThe exoskeleton of arthropods is composed of\n(4) DNA finger printing\nChitin.\nSol. Answer (1)""}",3,English,NEET 2022,active,,2025-09-21T16:59:52.244939,,Apply,,,,2025-09-21T16:59:52.244939,"[""neet-2022"", ""biology""]"
